"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgmagazines_mag_val_20rnd0","20rd AS Val Mag","20rd AS Val Mag","Zásobník AS Val, 20 ran","20-Schuss-AS Val-Magazin","Магазин АС «Вал», 20 пат.","Magazynek AS Val, 20-n.","20rd AS Val Mag","Caricatore AS Val 20 clp","Cargador AS Val, 20 p.","Chargeur 20 balles AS Val","20 發 AS Val 彈匣","20rd AS Val マガジン","Carregador 20 mun. AS Val","20 发 AS Val 弹匣",
"str_iz_cfgmagazines_mag_val_20rnd1","Detachable box magazine for AS Val and VSS rifles. Holds up to 20 rounds of 9x39mm.","Detachable box magazine for AS Val and VSS rifles. Holds up to 20 rounds of 9x39mm.","Odnímatelný schránkový zásobník na pušky VSS a AS Val. Pojme až 20 nábojů ráže 9x39 mm.","Abnehmbares Kastenmagazin für VSS- und AS Val-Gewehre. Fasst bis zu 20 Schuss 9x39mm-Munition.","Съемный коробчатый магазин для снайперских винтовок АС «Вал» и ВСС. Вмещает до 20 патронов калибра 9x39 мм.","Zewnętrzny magazynek pudełkowy do karabinów AS Val i VSS. Mieści 20 naboi 9x39 mm.","Detachable box magazine for AS Val and VSS rifles. Holds up to 20 rounds of 9x39mm.","Caricatore estraibile per fucili AS Val e VSS. Contiene fino a 20 munizioni calibro 9x39 mm.","Un cargador desmontable para los fusiles AS Val y VSS. Contiene hasta 20 proyectiles de 9x39 mm.","Un chargeur amovible pour fusils de précision AS Val et VSS. Contient jusqu'à 20 balles de calibre 9x39 mm.","可拆卸式盒裝彈匣，適用 AS Val 和 VSS 射手步槍。最多能裝 20 發 9x39mm 子彈。","AS Val/VSS ライフルのための取り外し可能な箱弾倉。9x39mm を最大 20 発装填できる。","Carregador tipo caixa destacável para fuzis AS Val e VSS. Armazena até 20 munições calibre 9x39mm.","VSS 和 AS Val 步枪的可拆卸盒式弹匣。可容纳最多 20 发 9x39 毫米子弹。",

"str_iz_cfgmagazines_mag_fnx45_15rnd0","15rd FNX-45 Mag","15rd FNX-45 Mag","Zásobník FNX-45, 15 ran","15-Schuss-FNX-45-Magazin","Магазин для FNX-45 на 15 пат.","Magazynek na 15 naboi FNX-45","15rd FNX-45 Mag","Caricatore FNX-45 15 clp","Cargador FNX-45 de 15 proyectiles","Chargeur 15 balles de FNX-45","15 發 FNX-45 彈匣","15rd FNX-45 マガジン","15rd FNX-45 Mag","15 发子弹 FNX-45 弹匣",
"str_iz_cfgmagazines_mag_fnx45_15rnd1","Detachable box magazine for FNX-45 pistol. Holds up to 15 rounds of .45 ACP.","Detachable box magazine for FNX-45 pistol. Holds up to 15 rounds of .45 ACP.","Odnímatelný schránkový zásobník na pistoli FNX-45. Pojme až 15 nábojů ráže .45 ACP.","Abnehmbares Kastenmagazin für die FNX-45-Pistole. Fasst bis zu 15 Schuss .45 ACP-Munition.","Съемный коробчатый магазин для пистолета FNX-45. Вмещает до 15 патронов калибра .45 ACP.","Zewnętrzny magazynek pudełkowy do pistoletu FNX-45. Mieści 15 naboi .45 ACP.","Detachable box magazine for FNX-45 pistol. Holds up to 15 rounds of .45 ACP.","Caricatore estraibile per pistola FNX-45. Contiene fino a 15 munizioni calibro .45 ACP.","Un cargador desmontable para la pistola FNX-45. Contiene hasta 15 proyectiles de .45 ACP.","Un chargeur amovible pour pistolet FNX-45. Contient jusqu'à 15 balles de calibre .45 ACP.","可拆卸式盒裝彈匣，適用 FNX-45 手槍。最多能裝 15 發 .45 ACP 子彈。","FNX-45 ピストルのための取り外し可能な箱弾倉。.45 ACP を最大 15 発装填できる。","Detachable box magazine for FNX-45 pistol. Holds up to 15 rounds of .45 ACP.","FNX-45 手枪的可拆卸弹匣。可容纳最多 15 发 .45 ACP 子弹。",

	"str_iz_cfgmagazines_mag_357speedloader_6rnd0",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",".357 Speedloader",
	"str_iz_cfgmagazines_mag_357speedloader_6rnd1","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.","A speedloader for .357 rounds.",

