"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",

"str_iz_cfgweapons_asval0","AS Val","AS Val","AS Val","AS Val","АС «Вал»","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val","AS Val",
"str_iz_cfgweapons_asval1","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","Zbraň odvozená od pušky VSS, která je přizpůsobena k montáži univerzálních doplňků. Používá munici 9x39 mm.","Eine abgeleitete Variante des VSS mit Option auf sämtliche Erweiterungen. Verschießt 9x39mm-Munition.","Переработанная модель ВСС. Поддерживает универсальные приспособления. Использует патроны калибра 9x39 мм.","Pochodna VSS umożliwiająca rozbudowę o uniwersalne akcesoria. Strzela amunicją 9x39 mm.","A derivative of VSS, outfitted to support universal attachments. Uses 9x39mm rounds.","Fucile di derivazione VSS, attrezzato in modo da supportare gli accessori universali. Usa munizioni calibro 9x39 mm.","Una versión del VSS adaptada para emplear accesorios universales. Usa proyectiles de 9x39 mm.","Une variante du VSS de calibre 9x39 mm, pouvant accueillir des accessoires universels.","VSS 的衍生型，可以裝配通用配件。使用 9x39mm 子彈。","万能アタッチメントを装着できる VSS の派生型。9x39mm 弾薬を使う。","Uma derivação do VSS, recondicionado para dar suporte a acessórios universais. Usa munições 9x39mm.","VSS 步枪的衍生版，装备了通用附件。使用 9x39 毫米子弹。",

"str_iz_cfgweapons_ak740","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74","AK-74",
"str_iz_cfgweapons_ak741","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Náhrada modelu AKM s kompatibilními doplňky. Používá munici 5,45x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Nachfolger des AKM mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Выпущен взамен модели AKM с совместимыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zamiennik AKM (część akcesoriów jest z nim kompatybilna). Strzela amunicją 5,45x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Sostituzione del AKM con accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Sustitución del AKM con accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm, remplaçant la AKM et accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AKM 的代替品，並可搭載相容的配件。使用 5.45x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある AKM の代替品。 5.45x39mm 弾薬を使う。","Selective-fire assault rifle fed from a detachable magazine. Replacement of AKM with compatible attachments. Uses 5.45x39mm rounds.","从可拆卸弹匣送弹的选射突击步枪。KA-M 的替代品，配备可兼容的附件。使用 5.45x39 毫米子弹。",

"str_iz_cfgweapons_aks74u0","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U","AKS-74U",
"str_iz_cfgweapons_aks74u1","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Zkrácená verze modelu AK-74 s několika kompatibilními doplňky. Používá munici 5,45x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die verkürzte Version des AK-74 mit diversen kompatiblen Erweiterungen. Nutzt 5.45x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Укороченная версия AK-74. Совместима с некоторыми приспособлениями. Использует патроны калибра 5,45x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Skrócona wersja AK-74 (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,45x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante ridotta del AK-74 con alcuni accessori compatibili. Utilizza munizioni calibro 5.45x39 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión más corta del AK-74, con algunos accesorios compatibles. Usa proyectiles de 5,45x39 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,45x39 mm. Version raccourcie du AK-74 accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是 AK-74 的縮短版，並可搭載某些配件。使用 5.45x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがいくつかある AK-74 の短縮型。5.45x39mm 弾薬を使う。","Selective-fire assault rifle fed from a detachable magazine. Shortened version of AK-74 with some compatible attachments. Uses 5.45x39mm rounds.","从可拆卸弹匣送弹的选射突击步枪。KA-74 的缩短型，配备一些可兼容的附件。使用 5.45x39 毫米子弹。",

